trialCount, launchingTime, launchingPosition.x, launchingPosition.y, launchingPosition.z, launchingAngles.x ,launchingAngles.y, launchingAngles.z, launchingLinearVelocity.x ,launchingLinearVelocity.y, launchingLinearVelocity.z, launchingAngularVelocity.x, launchingAngularVelocity.y, launchingAngularVelocity.z, landingPoint1.x, landingPoint1.y, landingPoint1.z, landingPoint1LinearVelocity.x, landingPoint1LinearVelocity.y, landingPoint1LinearVelocity.z, landingPoint1AngularVelocity.x, landingPoint1AngularVelocity.y, landingPoint1AngularVelocity.z, landingPoint1Quarter, paddleCollisionPosition.x, paddleCollisionPosition.y, paddleCollisionPosition.z, paddleCollisionLinearVelocity.x, paddleCollisionLinearVelocity.y, paddleCollisionLinearVelocity.z, paddleCollisionAngularVelocity.x, paddleCollisionAngularVelocity.y, paddleCollisionAngularVelocity.z, landingPoint2.x, landingPoint2.y, landingPoint2.z, landingPoint2LinearVelocity.x, landingPoint2LinearVelocity.y, landingPoint2LinearVelocity.z, landingPoint2AngularVelocity.x, landingPoint2AngularVelocity.y, landingPoint2AngularVelocity.z, landingPoint2Quarter, tableReferencePoint.x, tableReferencePoint.y, tableReferencePoint.z, isHit
15,262.7359,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.29802,0.9980639,-1.387041,-2.895718,2.098348,7.444937,-46.94081,-3.49887,-7.723243,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
16,264.0576,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.294747,1.008988,-1.398277,-3.773953,4.03135,5.513108,-106.6137,-0.4997989,-19.37961,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
17,264.9501,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.282315,1.004275,-1.462709,-1.517737,2.588307,4.451236,-106.8416,2.76E-07,-20.54647,-2.124239,0.8205993,0.9981719,-0.981375,2.839,2.706724,95.13943,-8.44E-05,34.52192,8,-1.0585,0.76,-1.162,TRUE
18,266.9398,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
19,267.9581,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.314853,1.050303,-1.402731,-3.143243,4.24327,6.516694,-25.92136,-4.075694,11.31245,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
20,269.4607,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.32194,1.012369,-1.370196,-0.9518008,0.1414032,-0.8587831,-24.9561,-41.61734,27.36025,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
21,270.8592,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.33015,1.063588,-1.235841,-1.425221,4.704127,5.444898,-65.58065,-11.44536,-5.216076,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
22,272.4983,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.29916,1.009138,-1.351525,-0.5921533,2.221994,5.02913,-6.444415,98.81837,-39.92851,-1.54966,0.8035027,1.164127,-0.04041943,2.691486,2.757317,119.3426,79.44183,-5.139726,7,-1.0585,0.76,-1.162,TRUE
23,274.3635,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.311168,1.008841,-1.309248,-2.213862,3.159485,6.384758,-25.40024,12.72721,-12.46208,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
24,275.2574,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.324609,1.009836,-1.242781,-1.359226,2.385569,1.162532,-109.2479,2.82E-07,-21.0092,-1.652887,0.8026257,-0.7222169,-0.6137107,1.951063,1.045272,51.44142,-29.31476,30.17899,1,-1.0585,0.76,-1.162,FALSE
25,279.2791,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.307227,1.01119,-1.333167,-2.721173,2.186359,5.819499,-108.2789,2.80E-07,-20.82287,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
