trialCount, launchingTime, launchingPosition.x, launchingPosition.y, launchingPosition.z, launchingAngles.x ,launchingAngles.y, launchingAngles.z, launchingLinearVelocity.x ,launchingLinearVelocity.y, launchingLinearVelocity.z, launchingAngularVelocity.x, launchingAngularVelocity.y, launchingAngularVelocity.z, landingPoint1.x, landingPoint1.y, landingPoint1.z, landingPoint1LinearVelocity.x, landingPoint1LinearVelocity.y, landingPoint1LinearVelocity.z, landingPoint1AngularVelocity.x, landingPoint1AngularVelocity.y, landingPoint1AngularVelocity.z, landingPoint1Quarter, paddleCollisionPosition.x, paddleCollisionPosition.y, paddleCollisionPosition.z, paddleCollisionLinearVelocity.x, paddleCollisionLinearVelocity.y, paddleCollisionLinearVelocity.z, paddleCollisionAngularVelocity.x, paddleCollisionAngularVelocity.y, paddleCollisionAngularVelocity.z, landingPoint2.x, landingPoint2.y, landingPoint2.z, landingPoint2LinearVelocity.x, landingPoint2LinearVelocity.y, landingPoint2LinearVelocity.z, landingPoint2AngularVelocity.x, landingPoint2AngularVelocity.y, landingPoint2AngularVelocity.z, landingPoint2Quarter, tableReferencePoint.x, tableReferencePoint.y, tableReferencePoint.z, isHit
1,22.8444,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.228428,0.9897474,-1.67464,-0.679368,4.31837,9.681497,-55.11892,-13.53895,-9.251756,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
2,24.13218,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.259422,0.9915004,-1.630029,-1.207199,1.45351,1.934764,-27.25822,-10.71652,10.043,-1.771978,0.8119994,-0.770202,-0.91682,2.302015,1.359722,52.72758,-8.962081,35.59985,1,-1.0585,0.76,-1.162,FALSE
3,26.71387,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.255799,0.9853728,-1.600592,-0.9834316,1.224075,2.101199,-105.4234,2.73E-07,-20.27373,-2.023127,0.8034087,-0.9002317,-0.710961,2.470759,1.026342,67.22849,49.9375,46.43383,2,-1.0585,0.76,-1.162,FALSE
4,29.04718,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.268396,1.02523,-1.569239,-1.160886,3.613399,2.965201,-74.51379,-7.7301,-10.37502,-2.068089,0.7806669,0.4620492,-0.9236078,3.48001,2.348141,-54.55191,-5.65893,-7.595726,6,-1.0585,0.76,-1.162,TRUE
5,31.35388,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.249334,0.9967011,-1.601267,0.2425457,0.4566693,-0.07607418,-58.04478,21.82325,-21.55566,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
6,32.54314,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.256486,0.9859864,-1.597022,-1.32238,2.221797,4.798455,-105.4234,2.73E-07,-20.27373,-2.186232,0.8058042,0.07958566,-1.017289,2.380229,1.921324,94.52675,32.90827,49.9013,4,-1.0585,0.76,-1.162,FALSE
7,34.34503,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.258931,1.000145,-1.590288,-1.587441,4.089105,5.843276,-83.70604,-2.183732,-10.18764,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
8,36.00837,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.266269,0.9942347,-1.546147,-2.236363,4.578961,7.002362,-105.894,2.74E-07,-20.36424,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
9,37.44704,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.264987,0.9932768,-1.552817,-0.7174687,1.924929,1.762872,-105.894,2.74E-07,-20.36424,-1.721863,0.8172814,-0.342795,-0.5139864,2.964746,1.247301,52.62423,-1.190484,21.70459,3,-1.0585,0.76,-1.162,FALSE
10,41.45182,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.266543,0.9782432,-1.540161,-0.3278891,-1.207079,2.115021,28.73611,2.298367,3.984547,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
