-1.821,0.000,-1.998,,,,,,,-2.941,0.704,-2.941,85.698,253.257,181.938,304.817,276.117,5.017,0.000,0.000,0.000@0.000|
-1.821,0.000,-1.998,,,,,,,-2.941,0.704,-2.941,85.706,253.219,181.899,304.783,276.085,5.060,0.000,0.000,0.000@0.000|
-1.821,0.000,-1.998,,,,,,,-2.941,0.704,-2.941,85.696,253.195,181.875,304.728,275.934,5.227,0.000,0.000,0.000@0.000|
-1.821,0.000,-1.998,,,,,,,-2.941,0.704,-2.941,85.708,253.226,181.908,304.715,275.865,5.313,0.000,0.000,0.000@0.000|
-1.821,0.000,-1.998,,,,,,,-2.941,0.704,-2.941,85.703,253.168,181.843,304.740,275.816,5.375,0.000,0.000,0.000@0.000|
-1.821,0.000,-1.998,,,,,,,-2.941,0.704,-2.941,85.702,253.190,181.867,304.739,275.770,5.414,0.000,0.000,0.000@0.000|
-1.821,0.000,-1.998,,,,,,,-2.941,0.704,-2.941,85.712,253.103,181.782,304.736,275.788,5.394,0.000,0.000,0.000@0.000|
-1.821,0.000,-1.998,,,,,,,-2.941,0.704,-2.941,85.705,253.096,181.775,304.723,275.790,5.371,0.000,0.000,0.000@0.000|
-1.821,0.000,-1.998,,,,,,,-2.941,0.705,-2.941,85.709,253.197,181.872,304.716,275.778,5.371,0.000,0.000,0.000@0.000|
-1.821,0.000,-1.998,,,,,,,-2.941,0.705,-2.941,85.713,253.231,181.919,304.724,275.778,5.374,0.000,0.000,0.000@0.000|
-1.821,0.000,-1.998,,,,,,,-2.941,0.705,-2.941,85.705,253.177,181.857,304.719,275.778,5.365,0.000,0.000,0.000@0.000|
-1.821,0.000,-1.998,,,,,,,-2.941,0.705,-2.941,85.711,253.233,181.914,304.713,275.741,5.391,0.000,0.000,0.000@0.000|
-1.821,0.000,-1.998,,,,,,,-2.941,0.705,-2.941,85.709,253.269,181.943,304.708,275.720,5.397,0.000,0.000,0.000@0.000|
-1.821,0.000,-1.998,,,,,,,-2.941,0.705,-2.941,85.707,253.240,181.915,304.695,275.717,5.393,0.000,0.000,0.000@0.000|
-1.821,0.000,-1.998,,,,,,,-2.941,0.705,-2.941,85.709,253.160,181.842,304.692,275.726,5.387,0.000,0.000,0.000@0.000|
-1.821,0.000,-1.998,,,,,,,-2.941,0.705,-2.941,85.708,253.217,181.890,304.689,275.709,5.395,0.000,0.000,0.000@0.000|
-1.821,0.000,-1.998,,,,,,,-2.941,0.705,-2.941,85.711,253.237,181.914,304.707,275.747,5.370,0.000,0.000,0.000@0.000|
-1.821,0.000,-1.998,,,,,,,-2.942,0.704,-2.941,85.716,253.231,181.906,304.748,275.789,5.309,0.000,0.000,0.000@0.000|
